Clock frequency is approx. 2793.2 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	6759.7	6060.1	4636.8	3515.5	2829.4	2354.5	2022.9	1754.2	1608.6	1499.8	1411.7	1340.1	1292.2	1237.8	1214.0	1126.9	1154.9	1138.0	1116.8	1100.5	1087.8	1076.4	1066.9	1060.2	1057.3	1055.2	1053.8	1055.9	1055.9	1055.6	1053.6	971.6	1066.7	1074.2	1083.3	1099.3	1103.5	1135.3	1205.5	1266.2	1974.9	2115.8	2291.6	2455.2	2690.5	3018.3	3135.9	1288.5	3200.7	3344.0	3337.1	3366.9	3440.6	3408.3	3455.2	3474.2	3564.4	3485.2	3509.5	3554.1	3491.7	3538.8	3562.9	1113.1	
16m	6766.6	6104.9	4701.7	3552.2	2870.1	2397.3	2056.4	1781.3	1642.4	1533.4	1451.3	1380.5	1330.2	1297.6	1279.8	1170.9	1270.0	1286.1	1309.6	1346.3	1382.5	1434.7	1508.1	1582.1	1701.6	1844.0	1983.1	2141.6	2266.3	2394.8	2492.7	1004.4	2683.7	2880.7	2905.1	3049.3	3121.1	3182.2	3187.2	3216.1	3461.9	3558.9	3607.4	3674.7	3722.5	3750.3	3763.9	3217.3	3753.9	3742.1	3733.3	3759.1	3704.5	3707.4	3698.2	3683.8	3700.1	3676.1	3676.2	3649.4	3648.5	3656.9	3651.5	1124.3	
8m	7104.0	6743.9	5738.8	4754.4	3985.9	3333.9	2898.1	2542.1	2453.7	2405.3	2382.9	2444.2	2556.5	2788.5	3042.8	1977.3	3298.5	3306.9	3446.9	3490.6	3498.0	3547.0	3557.3	3566.0	3536.5	3556.8	3558.0	3541.3	3550.8	3562.8	3545.4	1732.3	3550.0	3549.5	3540.2	3549.8	3538.0	3541.3	3531.0	3556.3	3678.9	3720.5	3739.2	3735.0	3746.9	3758.1	3768.8	3739.0	3765.6	3766.5	3740.6	3733.6	3737.2	3695.5	3694.8	3687.6	3703.5	3694.1	3653.6	3660.4	3653.5	3648.5	3643.7	1866.6	
4m	7433.1	7386.5	6704.5	6431.9	5790.3	4987.9	4340.0	3844.0	3811.8	3774.7	3760.5	3756.7	3725.7	3767.6	3770.1	3627.7	3732.7	3726.7	3709.0	3696.2	3703.1	3690.9	3691.2	3678.7	3672.4	3669.0	3670.0	3652.3	3640.0	3645.8	3629.5	3479.5	3607.6	3605.7	3598.5	3592.1	3598.3	3591.1	3600.3	3588.1	3716.2	3727.6	3724.1	3730.0	3756.8	3792.2	3785.7	3763.3	3766.9	3764.2	3734.3	3714.8	3727.6	3698.8	3698.1	3695.7	3691.6	3682.5	3675.5	3656.5	3661.3	3627.4	3639.2	3528.7	
2m	7448.2	7443.0	6863.9	6749.2	6076.7	5256.5	4569.0	4039.3	4015.9	3994.3	3981.6	3964.5	3951.5	3949.1	3948.6	3951.8	3935.6	3923.7	3912.5	3910.6	3907.6	3914.7	3910.3	3924.5	3929.8	3922.0	3932.9	3924.5	3926.7	3933.5	3924.9	3925.9	3931.0	3943.2	3955.1	3949.8	3971.8	3934.0	3951.8	3946.0	4060.3	4171.3	4218.5	4261.0	4321.8	4355.1	4391.0	4242.1	4466.0	4464.1	4478.2	4484.4	4492.0	4533.5	4532.9	4548.7	4589.5	4678.3	4645.4	4655.2	4740.7	4743.0	4750.7	4242.1	
1024k	7448.5	7445.1	6869.1	6766.6	6089.9	5273.4	4573.8	4049.4	4025.8	4016.1	3991.7	3980.1	3962.9	3963.7	3971.9	3973.6	3977.4	3971.0	3967.3	3969.1	3986.7	4005.1	4000.5	4028.6	4012.7	4056.7	4081.8	4083.5	4094.8	4128.4	4132.3	3928.2	4229.6	4300.2	4262.5	4384.4	4404.4	4840.2	5115.7	5330.6	5148.2	5201.0	5278.4	5357.8	5270.9	5540.5	5548.1	4421.6	5586.2	5462.2	5477.7	5519.6	5634.3	5683.0	5643.5	5821.5	5786.5	5890.8	5791.1	5678.7	5686.0	5650.6	5700.1	4280.2	
512k	7448.3	7448.0	6928.0	6782.4	6143.3	5330.5	4639.9	4090.8	4090.0	4071.9	4080.7	4086.9	4094.5	4097.6	4177.9	4037.0	4274.6	4384.4	4457.3	4439.8	4533.0	4578.1	4807.6	4744.8	5037.5	5070.4	5074.7	5289.2	5603.2	5504.5	5688.7	3989.2	5739.2	5694.2	5660.1	5703.5	5647.4	5684.1	5720.5	5752.8	5680.1	5746.1	5744.7	5794.1	5765.6	5877.8	5813.1	5467.3	5796.1	5747.0	5688.2	5691.4	5732.5	5750.5	5783.0	5863.2	5881.9	5882.5	5788.4	5756.4	5764.9	5755.2	5748.0	4346.9	
256k	7450.1	7439.5	7125.8	6931.8	7208.2	6521.8	5762.6	5123.6	5184.7	5261.7	5352.6	5394.1	5384.5	5521.5	5634.1	5013.6	5556.2	5659.1	5664.0	5587.7	5602.1	5587.8	5660.4	5538.7	5667.0	5636.7	5678.2	5694.7	5676.2	5686.6	5613.0	4897.7	5636.8	5709.3	5653.6	5706.3	5692.5	5680.3	5661.4	5607.8	6040.9	5711.8	5668.2	5667.3	5681.0	5676.1	5769.5	5725.9	5800.0	5684.0	6432.4	5705.3	6603.8	6505.9	6151.8	5734.7	6981.5	6574.2	7003.5	7281.3	7354.4	7531.7	7527.6	4650.8	
128k	7451.6	7454.6	7457.5	7455.8	7456.3	6978.2	6056.1	5608.3	5615.3	5584.3	5606.7	5587.4	5654.8	5606.8	5613.4	5663.9	5655.4	5574.9	5607.6	5553.4	5530.6	5621.3	5604.1	5649.5	6246.6	5578.7	6607.3	5568.6	6323.9	7246.8	7493.5	5619.3	7576.4	7604.4	7556.2	7564.9	7563.9	7597.6	7568.7	7575.0	7617.0	7564.9	7574.5	7589.6	7587.5	7593.4	7664.8	5812.1	7590.5	7626.0	7604.4	7617.8	7607.5	7634.1	7633.3	7635.6	7681.3	7440.9	7640.0	7625.5	7652.8	7648.8	7644.6	5790.0	
64k	7454.6	7460.7	7466.7	7463.1	7465.5	7048.9	6058.9	5641.5	5668.2	5635.4	5745.6	5674.7	5552.3	5568.6	7078.6	5608.3	7561.7	7542.5	7597.6	7575.0	7591.3	7589.6	7593.4	7595.1	7658.0	7617.8	7668.7	7635.6	7547.7	7625.5	7648.8	5675.1	7658.2	7689.3	7689.5	7749.5	7777.9	7668.0	7718.1	7728.5	7749.2	7725.9	7768.0	7759.5	7702.5	7708.4	7850.3	7813.0	7780.3	7886.0	7802.8	7786.4	7846.4	7843.0	7846.0	7781.1	7944.1	7437.6	7829.5	7861.3	7812.3	7852.2	7809.0	5675.1	
