Clock frequency is approx. 3158.4 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	5935.6	3180.8	2040.8	1601.7	1292.7	1072.5	916.3	796.3	762.6	728.8	708.0	685.7	674.0	675.2	681.5	759.4	671.2	672.7	672.4	672.6	680.2	677.7	682.4	686.1	687.8	701.3	712.1	725.1	727.5	733.1	747.9	749.7	774.4	797.9	821.4	852.3	872.4	909.9	957.3	985.4	1033.1	1087.9	1135.1	1193.0	1243.3	1331.7	1373.9	692.1	1424.3	1598.6	1703.4	1744.4	1758.9	1812.0	1919.0	1923.9	1987.3	2139.2	2146.7	2165.1	2255.1	2251.1	2497.3	702.2	
16m	6317.3	3300.0	2134.7	1677.7	1353.1	1124.5	957.2	832.1	785.3	745.7	724.2	701.2	693.8	692.9	716.5	758.2	809.4	862.5	907.7	1004.7	1095.1	1241.3	1372.7	1497.8	1644.3	1845.9	1958.7	2063.6	2432.9	2480.5	2460.4	749.1	3063.3	3116.8	3298.3	3541.6	3871.4	4027.7	4289.8	4613.1	4072.1	4464.1	4459.6	4912.0	4617.5	5085.9	4921.9	2089.2	5044.9	5038.9	5015.8	5004.0	5027.1	4997.7	4998.8	5007.3	5025.0	4994.0	4946.1	4926.0	4908.0	4896.3	4882.6	695.3	
8m	6493.8	3679.4	2460.2	1936.1	1574.0	1323.0	1131.1	987.5	984.8	1010.3	1085.8	1192.8	1445.2	1772.4	2367.8	835.0	3581.0	3657.6	4412.5	4996.3	5346.9	5225.9	5417.9	5362.5	5334.8	5206.3	5066.6	5193.7	5188.3	5209.5	5225.4	821.1	5163.9	5090.7	5124.3	5135.2	5128.3	5099.9	5087.9	5104.6	5054.4	5089.5	5107.4	5076.8	5064.2	5080.3	5032.6	5070.9	5031.5	5034.1	5010.0	4998.4	5022.0	4991.0	4994.4	5030.5	5022.9	4992.2	4941.4	4902.6	4901.4	4895.3	4886.7	799.1	
4m	8201.3	7520.2	6943.5	6530.7	5837.5	5161.6	4505.7	3983.5	4282.2	4522.8	4675.9	4922.9	5071.4	5181.5	5216.2	3901.1	5295.5	5341.3	5284.2	5328.9	5342.5	5397.6	5406.5	5351.1	5346.4	5208.1	5074.8	5193.1	5170.4	5201.7	5219.0	3651.5	5160.2	5082.8	5132.3	5127.1	5119.3	5089.6	5084.0	5096.7	5045.5	5079.8	5097.3	5065.9	5051.0	5076.1	5038.9	5068.2	5024.4	5022.4	5002.2	4990.0	5013.4	4979.4	4986.0	5017.4	5014.2	4983.9	4937.3	4883.6	4885.7	4889.4	4886.1	3370.7	
2m	8421.1	8419.6	8418.2	8416.2	7692.7	6845.6	5970.0	5244.2	5223.9	5175.0	5165.0	5172.0	5208.1	5250.0	5221.5	5307.8	5290.0	5341.3	5263.4	5325.6	5344.7	5396.3	5406.5	5334.4	5333.6	5203.0	5064.4	5184.4	5184.9	5178.5	5207.6	5157.1	5158.2	5072.2	5130.2	5122.2	5115.0	5068.5	5074.5	5084.7	5034.2	5075.2	5087.7	5030.5	5065.1	5060.7	5028.7	5061.1	5005.1	5030.5	4985.8	4986.3	4998.1	4956.6	4967.4	5002.1	4982.6	4992.1	4915.6	4874.3	4882.3	4855.6	4875.4	4909.6	
1024k	8419.8	8417.0	8414.0	8411.7	7932.1	6965.8	6017.6	5255.9	5287.3	5264.5	5265.3	5300.4	5322.8	5400.3	5502.1	5726.3	5627.5	5661.4	5666.5	5635.6	5638.8	5609.3	5591.1	5573.8	5577.8	5549.7	5555.8	5536.1	5527.0	5546.8	5443.2	5482.9	5598.5	5536.3	5475.9	5434.2	5500.3	5573.5	5430.5	5376.3	5436.6	5486.2	5430.3	5426.7	5428.5	5421.0	5402.1	5481.5	5381.6	5354.9	5361.4	5397.6	5467.8	5406.9	5344.4	5357.2	5341.8	5352.3	5337.2	5330.4	5350.9	5350.1	5270.0	5335.3	
512k	8419.5	8415.8	8409.7	8407.7	7928.3	6941.6	6023.5	5264.1	5319.3	5251.8	5254.0	5344.2	5369.8	5392.3	5489.2	5730.6	5618.0	5686.4	5631.9	5644.6	5650.5	5611.2	5568.6	5468.9	5551.1	5522.1	5532.2	5533.7	5529.0	5539.0	5448.3	5441.4	5589.6	5512.5	5442.9	5398.0	5452.2	5513.2	5450.4	5406.5	5471.0	5424.7	5455.9	5434.3	5439.9	5499.8	5406.2	5544.2	5398.1	5289.3	5349.0	5371.7	5427.0	5362.0	5326.6	5357.7	5327.6	5245.1	5362.2	5369.3	5361.1	5344.7	5230.7	5319.4	
256k	8416.6	8409.3	8398.8	8393.1	7912.0	7044.3	6020.5	5247.7	5280.1	5250.1	5171.7	5274.1	5320.5	5366.4	5415.1	5697.8	5572.4	5629.9	5587.5	5615.5	5586.1	5532.6	5515.0	5452.2	5490.1	5486.4	5479.8	5499.2	5424.5	5409.3	5375.9	5382.5	5445.5	5477.2	5332.1	5308.5	5341.2	5358.3	5333.6	5366.1	5888.5	5360.8	5361.7	5366.4	5334.2	5367.3	5328.0	5435.9	5307.7	5249.3	6191.6	5254.7	6739.2	6403.9	5912.4	5257.7	7113.4	6862.0	7034.0	6787.6	7519.0	7639.5	7907.5	5178.9	
128k	8411.0	8396.5	8372.2	8361.2	7995.6	7134.3	5991.7	5293.3	5239.9	5243.5	5226.0	5270.6	5303.7	5329.7	5379.8	5616.2	5477.2	5538.6	5486.5	5529.6	5577.7	5381.8	5397.9	5371.6	6480.0	5371.7	6810.7	5384.0	6891.8	7297.3	7855.2	5299.8	8102.1	8063.4	8033.4	8124.8	8118.4	8015.7	8039.6	8128.0	7992.3	8103.8	8042.5	8052.9	8067.8	8027.1	8056.4	5248.0	8012.9	8068.4	7981.5	7983.2	7986.5	7993.2	8006.9	7938.5	7961.8	7989.8	7944.3	7892.4	7934.8	7901.7	7858.3	5117.4	
64k	8396.5	8367.3	8328.8	8303.5	7822.6	6917.2	6008.8	5248.2	5194.6	5212.1	5157.5	5142.6	5141.0	5205.8	7487.3	5581.1	8166.1	8124.8	8021.6	8128.0	8044.3	8052.9	8027.1	8035.9	7998.3	7983.2	7993.2	7938.5	7989.8	7892.4	7901.7	5363.6	7856.5	7914.5	7883.4	7863.6	7856.1	7857.3	7757.5	7779.7	7705.6	7747.1	7801.3	7622.2	7690.1	7767.9	7724.3	7698.6	7663.9	7647.9	7628.9	7623.8	7609.8	7616.6	7614.7	7635.0	7498.0	7507.1	7539.5	7417.2	7438.9	7485.3	7516.6	4728.4	
32k	8374.1	8328.9	8290.4	8229.6	8161.3	8143.6	8105.6	8055.3	8176.8	8128.0	8052.9	8035.9	8055.9	8015.9	7983.8	7917.3	7904.3	7863.6	7745.5	7779.7	7747.1	7864.4	7767.9	7698.6	7777.3	7757.5	7616.6	7635.0	7668.5	7563.6	7485.3	7251.6	7495.6	7454.8	7409.2	7388.6	7355.8	7541.7	7349.2	7369.6	7378.9	7203.4	7249.1	7275.1	7322.7	7184.6	7241.5	7085.7	7176.3	7258.8	7114.8	6981.8	7097.8	7195.5	7064.9	6946.1	7081.8	6958.4	6847.4	6736.3	6866.7	6751.6	6929.9	7417.9	
